wavelength red green blue
501 0.0314128396077957 0.299243735924253 0.194567775174386
502 0.0326101390160176 0.306633276263509 0.18835177115547
503 0.0338543746334371 0.313973770850546 0.182114770967782
504 0.0351512225294988 0.321292055695176 0.175887184939812
505 0.0365063430787498 0.328596833979262 0.169697596829762
506 0.0379216034215673 0.335891995495056 0.163568320028754
507 0.0393901663638069 0.343181429998522 0.157520454465201
508 0.0409039786576404 0.35046844737872 0.15157703653068
509 0.0424549870552397 0.357743388956582 0.145804411097013
510 0.044035138308777 0.364983828892953 0.140311558914976
511 0.0456363791704241 0.372166801766466 0.135197325835656
512 0.0472506563923529 0.379269342155756 0.130478051522594
513 0.0488699167267356 0.386268484639458 0.126135219549575
514 0.0504861069257439 0.393141213368553 0.122150189776424
515 0.0520911737415499 0.399857897296382 0.118504286360668
